article_number,chapter,category,text,start,end
,,ARTICLE_REFERENCE,第七〇号,16,20
,,TIME_PERIOD,三〇年七月六日,7,14
,,LAW_REFERENCE,附　則　（令和元年五月一七日法,0,15
,,ARTICLE_REFERENCE,第三号,16,19
,,TIME_PERIOD,五月一七日,9,14
,,LAW_REFERENCE,附　則　（令和三年四月二八日法,0,15
,,ARTICLE_REFERENCE,第二四号,16,20
,,TIME_PERIOD,三年四月二八日,7,14
,,LAW_REFERENCE,附　則　（令和三年五月一九日法,0,15
,,ARTICLE_REFERENCE,第三七号,16,20
,,TIME_PERIOD,三年五月一九日,7,14
,,LAW_REFERENCE,附　則　（令和三年五月二一日法,0,15
,,ARTICLE_REFERENCE,第四二号,16,20
,,TIME_PERIOD,三年五月二一日,7,14
,,LAW_REFERENCE,附　則　（令和四年五月二五日法,0,15
,,ARTICLE_REFERENCE,第四八号,16,20
,,TIME_PERIOD,四年五月二五日,7,14
,,LAW_REFERENCE,附　則　（令和五年六月一四日法,0,15
,,ARTICLE_REFERENCE,第五一号,16,20
,,TIME_PERIOD,五年六月一四日,7,14
